cgpa,iq,profile,placed
7.11,103,Marketing,1
9.59,112,Management,1
8.65,112,Management,1
8.07,102,Marketing,0
6.17,128,Marketing,0
6.17,114,Finance,0
5.75,98,Finance,0
9.22,116,Management,1
8.08,100,Creative,1
8.54,117,Management,1
5.59,121,Creative,0
9.67,101,Creative,1
9.08,119,Finance,1
6.41,114,Technical,1
6.28,118,Technical,1
6.29,128,Marketing,0
6.81,107,Finance,1
7.76,102,Creative,0
7.36,101,Technical,1
6.75,101,Creative,0
8.13,109,Technical,1
6.1,113,Technical,1
6.76,112,Technical,1
7.08,118,Finance,1
7.46,110,Management,1
8.88,124,Creative,0
6.36,107,Finance,1
7.71,137,Finance,1
8.05,116,Finance,1
5.7,101,Finance,0
8.11,99,Finance,0
6.23,114,Marketing,0
5.78,107,Creative,0
9.58,117,Finance,1
9.65,114,Creative,1
8.98,109,Marketing,0
6.81,101,Marketing,1
5.92,94,Creative,0
8.44,105,Technical,1
7.39,118,Management,1
6.02,112,Technical,1
7.63,97,Technical,1
5.65,111,Technical,0
9.41,113,Finance,1
6.61,101,Marketing,0
8.35,111,Technical,1
6.84,110,Marketing,0
7.74,98,Creative,0
7.85,113,Management,1
6.29,115,Creative,0
9.67,120,Creative,1
8.83,120,Finance,1
9.54,96,Management,1
9.35,100,Creative,1
8.07,115,Creative,1
9.46,115,Management,1
5.88,115,Management,1
6.34,140,Creative,0
5.69,115,Management,0
6.9,121,Creative,1
7.17,119,Creative,0
6.67,116,Finance,1
9.06,106,Technical,1
7.03,117,Creative,0
6.71,102,Marketing,0
7.83,107,Technical,1
6.11,105,Technical,1
8.95,110,Technical,1
5.82,133,Finance,1
9.74,91,Creative,0
8.82,116,Finance,1
6.35,93,Creative,0
5.52,105,Finance,0
9.01,120,Finance,1
8.54,110,Marketing,1
8.63,99,Finance,1
8.82,102,Management,1
5.82,116,Marketing,0
7.04,102,Finance,1
6.0,112,Technical,1
9.21,110,Management,1
8.18,103,Management,1
6.92,131,Management,1
5.77,116,Marketing,0
6.84,89,Finance,1
6.9,111,Finance,1
8.64,103,Technical,1
8.24,118,Technical,1
9.32,102,Management,1
7.53,108,Technical,1
6.01,115,Marketing,0
8.57,118,Finance,1
8.77,97,Management,1
7.91,106,Technical,1
8.82,105,Marketing,1
7.62,103,Marketing,0
7.75,127,Technical,1
7.34,114,Finance,1
5.61,97,Technical,1
5.96,119,Management,1
5.64,131,Technical,1
8.24,120,Marketing,1
6.85,94,Technical,1
7.69,105,Finance,1
9.4,122,Creative,0
6.57,102,Technical,1
7.26,114,Finance,0
8.75,117,Finance,1
6.48,100,Marketing,0
5.83,109,Finance,0
6.75,80,Finance,0
6.19,99,Finance,1
9.5,107,Finance,1
8.97,97,Management,1
8.22,126,Management,1
9.25,95,Marketing,1
8.96,105,Technical,1
6.3,111,Finance,1
9.34,124,Technical,1
7.82,95,Technical,1
8.97,121,Marketing,1
9.35,110,Finance,1
6.87,100,Finance,0
5.97,114,Creative,0
6.48,111,Technical,1
7.34,103,Technical,1
9.02,110,Management,1
9.2,106,Creative,1
5.53,111,Management,0
7.7,116,Management,1
7.29,125,Management,1
6.46,97,Marketing,0
6.02,131,Marketing,1
6.95,90,Management,1
9.55,108,Creative,0
6.89,115,Technical,1
7.73,112,Creative,1
8.52,103,Finance,1
7.06,107,Marketing,0
9.68,105,Technical,1
9.64,104,Technical,1
6.58,118,Finance,0
7.64,113,Finance,0
6.79,103,Management,1
6.72,118,Marketing,0
5.66,113,Marketing,0
8.12,118,Creative,1
7.66,116,Management,1
5.72,101,Management,0
6.7,104,Management,1
9.41,117,Management,1
6.53,116,Marketing,0
6.12,109,Marketing,0
7.6,111,Management,1
9.74,122,Creative,1
6.54,104,Technical,1
8.39,115,Technical,1
8.77,107,Creative,0
6.52,107,Management,1
8.63,120,Marketing,0
7.08,118,Technical,1
8.22,118,Finance,1
8.22,123,Finance,1
7.8,110,Creative,0
5.89,116,Management,0
9.09,106,Technical,1
6.88,113,Management,1
6.3,108,Technical,1
5.68,110,Creative,0
8.04,115,Creative,1
8.41,101,Finance,1
5.57,130,Management,1
7.7,99,Finance,1
6.47,97,Management,1
8.27,121,Finance,1
6.25,117,Marketing,0
8.47,116,Marketing,0
7.16,116,Marketing,0
9.53,109,Marketing,1
6.09,101,Technical,1
6.97,110,Marketing,0
5.99,103,Creative,0
9.48,119,Creative,1
9.27,108,Technical,1
6.61,101,Marketing,1
8.34,106,Marketing,0
9.01,114,Marketing,1
7.89,104,Finance,1
7.78,101,Management,1
6.54,112,Finance,0
5.9,112,Management,0
9.36,104,Marketing,0
9.37,105,Marketing,1
8.22,112,Finance,1
6.96,95,Finance,0
7.0,95,Management,0
8.62,102,Creative,0
9.36,107,Management,1
9.31,113,Finance,1
8.85,124,Finance,1
